Symbol,Time,Open,High,Low,Last,Change,%Chg,Volume,"Open Int"
ZCZ21,06/24/2021,534,541.75,514.25,536,0.25,+0.05%,473565,1593011
ZCZ21,06/23/2021,538,543,528.75,535.75,-3.25,-0.60%,377513,1615030
ZCZ21,06/22/2021,561,566,536.25,539,-18,-3.23%,400585,1632258
ZCZ21,06/21/2021,545.5,564.75,540,557,-9.25,-1.63%,360063,1675970
ZCZ21,06/18/2021,531.5,575,530.5,566.25,33.75,+6.34%,502485,1694248
ZCZ21,06/17/2021,571,573.25,532.5,532.5,-40,-6.99%,518133,1700036
ZCZ21,06/16/2021,576.75,585.75,566,572.5,-1.25,-0.22%,420828,1721137
ZCZ21,06/15/2021,584.5,586.25,561,573.75,-7.5,-1.29%,416026,1723608
ZCZ21,06/14/2021,598,598.75,570.5,581.25,-28.5,-4.67%,425483,1748483
ZCZ21,06/11/2021,616,619.75,596,609.75,-6.75,-1.09%,570215,1760502
ZCZ21,06/10/2021,608.75,628.25,606.5,616.5,6.75,+1.11%,618633,1750127
ZCZ21,06/09/2021,609,615,593,609.75,0.25,+0.04%,538288,1734315
ZCZ21,06/08/2021,606,617.75,605,609.5,-69.75,-10.27%,559000,1728203
ZCN21,06/07/2021,695,706.25,674.5,679.25,-3.5,-0.51%,632450,1726096
ZCN21,06/04/2021,663.5,685.75,660.75,682.75,20.75,+3.13%,353056,1720385
ZCN21,06/03/2021,675.5,685,652.75,662,-13,-1.93%,399667,1721679
ZCN21,06/02/2021,683.25,694.25,666,675,-13.75,-2.00%,377372,1732085
ZCN21,06/01/2021,666,696.75,660.75,688.75,32,+4.87%,394665,1735715
ZCN21,05/28/2021,666.25,672.75,651.25,656.75,-7.75,-1.17%,303619,1730652
ZCN21,05/27/2021,626,664.5,621.25,664.5,40,+6.41%,367889,1731719
ZCN21,05/26/2021,621,629,602.75,624.5,4.25,+0.69%,382460,1728292
ZCN21,05/25/2021,660,661.75,617.25,620.25,-37,-5.63%,402484,1720733
ZCN21,05/24/2021,652.25,658.5,645.5,657.25,-2.25,-0.34%,208365,1717870
ZCN21,05/21/2021,664.75,666.75,653.5,659.5,-5,-0.75%,223642,1713842
ZCN21,05/20/2021,662.25,671.25,656.5,664.5,6.25,+0.95%,279511,1712219
ZCN21,05/19/2021,660.5,663,637,658.25,0,0.00%,334119,1704897
ZCN21,05/18/2021,653.5,669.5,652.5,658.25,5.75,+0.88%,336324,1697454
ZCN21,05/17/2021,642.25,656.75,633,652.5,8.75,+1.36%,396922,1695805
ZCN21,05/14/2021,670,687,641.75,643.75,-31,-4.59%,583782,1700920
ZCN21,05/13/2021,712.75,714,674.75,674.75,-40,-5.60%,545277,1703869
ZCN21,05/12/2021,723.75,731.25,703.5,714.75,-7.5,-1.04%,458728,1713685
ZCN21,05/11/2021,711,732.5,703.25,722.25,10.5,+1.48%,355563,1717273
ZCN21,05/10/2021,726.5,730.75,708.5,711.75,-20.5,-2.80%,433609,1711426
ZCN21,05/07/2021,719,735.25,715.5,732.25,13.5,+1.88%,510086,1716244
ZCN21,05/06/2021,709.5,722.5,705.5,718.75,10.25,+1.45%,515010,1699299
ZCN21,05/05/2021,698,712,691.25,708.5,11.75,+1.69%,440337,1676606
ZCN21,05/04/2021,681.25,704,676,696.75,17.25,+2.54%,397378,1670424
ZCN21,05/03/2021,685,698,674,679.5,6.25,+0.93%,438259,1669234
ZCN21,04/30/2021,648,673.25,645.25,673.25,25,+3.86%,356259,1669392
ZCN21,04/29/2021,640.5,653.5,635.5,648.25,4.25,+0.66%,372048,1666039
ZCN21,04/28/2021,654.5,670.75,629.5,644,-10.5,-1.60%,703024,1669989
ZCN21,04/27/2021,660.25,684,646,654.5,-3,-0.46%,856417,1698687
