Time,Open,High,Low,Last,Change,%Chg,Volume,"Open Int"
07/06/2022,561.25,564.5,551,561.75,2.5,+0.45%,645,2866
07/05/2022,581.75,583.25,555.75,559.25,-24.5,-4.20%,696,2795
07/01/2022,593,597,582.25,583.75,-7,-1.18%,222,2762
06/30/2022,608.75,610,589.75,590.75,-20.75,-3.39%,577,2765
06/29/2022,608.25,614.25,607,611.5,1.25,+0.20%,627,2731
06/28/2022,612,618.25,609,610.25,0.5,+0.08%,190,2294
06/27/2022,602,611,598.75,609.75,-6,-0.97%,479,2212
06/24/2022,606.75,623,603.5,615.75,9,+1.48%,189,2073
06/23/2022,627.25,627.25,600,606.75,-26.25,-4.15%,306,2119
06/22/2022,633,638.5,626.5,633,-1,-0.16%,80,2048
06/21/2022,643.75,649.25,623.5,634,-16.75,-2.57%,77,2036
06/17/2022,660,666.75,648.5,650.75,-7.75,-1.18%,28,2027
06/16/2022,656,663,653.75,658.5,4.5,+0.69%,62,2029
06/15/2022,653.25,658.5,649.25,654,0.25,+0.04%,12,2025
06/14/2022,654.5,661,650.25,653.75,-5,-0.76%,37,2025
06/13/2022,660,662,649.25,658.75,-0.25,-0.04%,75,2032
06/10/2022,651,660.25,646.25,659,5.75,+0.88%,24,2024
06/09/2022,646.75,655,644.5,653.25,3.25,+0.50%,26,2029
06/08/2022,654.5,659.25,645.25,650,-5,-0.76%,62,2034
06/07/2022,630.5,658.5,630.25,655,20,+3.15%,69,2031
06/06/2022,637.25,638.5,628.25,635,2.5,+0.40%,57,2036
06/03/2022,628.5,635.75,627.25,632.5,2,+0.32%,22,2025
06/02/2022,629,634,626.75,630.5,2.5,+0.40%,13,2027
06/01/2022,641.5,643,622,628,-13,-2.03%,66,2026
05/31/2022,648.25,648.25,637,641,-7.25,-1.12%,61,2025
05/27/2022,644,649.75,642.5,648.25,4.5,+0.70%,37,2024
05/26/2022,635.5,648.25,630,643.75,0.75,+0.12%,42,2033
05/25/2022,645,645,636.5,643,-7.25,-1.11%,92,2024
05/24/2022,648.5,652.75,639,650.25,-2.5,-0.38%,52,1974
05/23/2022,658,661,650.25,652.75,0.5,+0.08%,56,1976
05/20/2022,651.25,655.25,648.25,652.25,-1.5,-0.23%,12,1979
05/19/2022,655.5,658.5,645,653.75,2.5,+0.38%,135,1979
05/18/2022,655.75,655.75,649,651.25,-10.75,-1.62%,197,1959
05/17/2022,660,669,656.5,662,2,+0.30%,74,1955
05/16/2022,656.25,661.75,650.25,660,8.75,+1.34%,35,1953
05/13/2022,661.25,662.75,644.5,651.25,-10,-1.51%,109,1948
05/12/2022,651.5,662.75,648,661.25,9,+1.38%,137,1952
05/11/2022,650,653.5,646,652.25,5.5,+0.85%,68,1919
05/10/2022,641,647,638.5,646.75,3.25,+0.51%,74,1908
05/09/2022,652,652,635.75,643.5,-10,-1.53%,89,1873
05/06/2022,661.5,661.75,652,653.5,-14.75,-2.21%,34,1864
05/05/2022,668,668.75,661.25,668.25,2,+0.30%,18,1853
05/04/2022,664.75,672.25,661.25,666.25,0,0.00%,71,1849
05/03/2022,673.5,675,662,666.25,-6.5,-0.97%,42,1845
05/02/2022,673.75,674.75,667,672.75,-7,-1.03%,76,1846
04/29/2022,680.75,684,679,679.75,-1,-0.15%,24,1863
04/28/2022,682,683,680,680.75,-0.75,-0.11%,93,1865
04/27/2022,680.5,685.25,678.25,681.5,0.5,+0.07%,68,1866
04/26/2022,682,683.25,675.25,681,5.5,+0.81%,47,1868
04/25/2022,661,680,655.25,675.5,14,+2.12%,55,1846
04/22/2022,664.5,673,659.25,661.5,-9.5,-1.42%,27,1826
04/21/2022,678.25,678.25,670.25,671,-9.5,-1.40%,25,1823
04/20/2022,679.75,681,672.5,680.5,0,0.00%,28,1815
04/19/2022,675,683.75,673.5,680.5,5.5,+0.81%,100,1806
04/18/2022,670,675.5,670,675,7.25,+1.09%,48,1758
04/14/2022,665.5,668.75,665,667.75,1,+0.15%,43,1749
04/13/2022,660,666.75,658,666.75,6,+0.91%,16,1740
04/12/2022,655,660.75,654.75,660.75,8.25,+1.26%,35,1735
04/11/2022,650,655,649.75,652.5,3.5,+0.54%,36,1730
04/08/2022,644.5,650,643.5,649,4.5,+0.70%,147,1719
04/07/2022,635,645,634.25,644.5,9.25,+1.46%,71,1704
04/06/2022,633,636,633,635.25,2.25,+0.36%,294,1659
04/05/2022,632,636,632,633,3.75,+0.60%,33,1438
04/04/2022,630,630,628.5,629.25,7.5,+1.21%,88,1439
04/01/2022,622.75,625.75,615.25,621.75,5.75,+0.93%,50,1438
03/31/2022,616.25,628.75,613.75,616,1.75,+0.28%,64,1438
03/30/2022,612.75,624,608.25,614.25,5.5,+0.90%,258,1434
03/29/2022,604.5,614.75,597.5,608.75,4,+0.66%,1076,1243
03/28/2022,600.5,604.75,599,604.75,2,+0.33%,85,510
03/25/2022,601,602.75,600,602.75,2,+0.33%,13,436
03/24/2022,598.25,600.75,597.5,600.75,1.5,+0.25%,15,430
03/23/2022,597,600.5,597,599.25,3,+0.50%,44,419
03/22/2022,592.75,596.25,592.5,596.25,5.25,+0.89%,9,381
03/21/2022,590,591,590,591,8.75,+1.50%,8,382
03/18/2022,582.25,582.25,582.25,582.25,-0.25,-0.04%,25,376
03/17/2022,582.5,582.5,582.5,582.5,12.75,+2.24%,49,373
03/16/2022,573.75,573.75,569.75,569.75,-14,-2.40%,49,373
03/15/2022,582.5,583.75,580,583.75,-2.25,-0.38%,4,354
03/14/2022,585.75,586,582.75,586,-2,-0.34%,5,350
03/11/2022,584.5,588,582.5,588,1.75,+0.30%,2,350
03/10/2022,581.5,586.5,573,586.25,6.75,+1.16%,12,348
03/09/2022,575,580.75,573.75,579.5,1.5,+0.26%,12,342
03/08/2022,580.25,585,574,578,-0.25,-0.04%,6,333
03/07/2022,568,578.25,568,578.25,9.75,+1.72%,25,329
03/04/2022,573.75,584.75,561.5,568.5,8,+1.43%,32,309
03/03/2022,572,572,560.5,560.5,-11.75,-2.05%,7,304
03/02/2022,573.25,573.75,571.75,572.25,-8,-1.38%,47,305
03/01/2022,580,586,579,580.25,14.25,+2.52%,101,279
02/28/2022,566,570.5,566,566,16,+2.91%,0,248
02/25/2022,566.75,575.25,550,550,-20.5,-3.59%,2,248
02/24/2022,579,604.25,568.5,570.5,-6,-1.04%,22,247
02/23/2022,574.25,576.5,573.25,576.5,2,+0.35%,6,229
02/22/2022,567.25,574.5,567.25,574.5,7.25,+1.28%,10,226
02/18/2022,566,568,566,567.25,0.5,+0.09%,1,225
02/17/2022,566.75,568,562.5,566.75,2.5,+0.44%,26,225
02/16/2022,565.75,565.75,562,564.25,1.5,+0.27%,32,203
02/15/2022,560.5,562.75,560.5,562.75,-5.25,-0.92%,29,203
02/14/2022,568,568,568,568,3.5,+0.62%,0,189
02/11/2022,556.5,564.5,556.5,564.5,4.25,+0.76%,20,189
02/10/2022,567,568.75,560.25,560.25,-4.75,-0.84%,15,169
02/09/2022,555,565,555,565,9,+1.62%,21,154
02/08/2022,555,556,555,556,0.5,+0.09%,24,139
02/07/2022,553.25,555.5,553,555.5,5.25,+0.95%,4,125
02/04/2022,548.75,550.25,548.75,550.25,1.25,+0.23%,6,123
02/03/2022,549,549,547.75,549,-4.25,-0.77%,15,120
02/02/2022,551.75,553.25,551.75,553.25,-1.75,-0.32%,23,114
