Time,Open,High,Low,Last,Change,%Chg,Volume,"Open Int"
04/15/2021,460.25,460.25,460.25,460.25,-2,-0.43%,0,92
04/14/2021,462.25,462.25,462.25,462.25,5.25,+1.15%,0,92
04/13/2021,457,457,457,457,4.75,+1.05%,0,92
04/12/2021,452.25,452.25,452.25,452.25,0.75,+0.17%,0,92
04/09/2021,451.5,451.5,451.5,451.5,3,+0.67%,0,92
04/08/2021,448.5,448.5,448.5,448.5,4.25,+0.96%,0,92
04/07/2021,444.25,444.25,444.25,444.25,2.75,+0.62%,0,92
04/06/2021,441.5,441.5,441.5,441.5,-5.25,-1.18%,0,92
04/05/2021,446.75,446.75,446.75,446.75,7.25,+1.65%,0,92
04/01/2021,439.5,439.5,439.5,439.5,-0.5,-0.11%,0,92
03/31/2021,440,440,440,440,18.5,+4.39%,0,92
03/30/2021,421.5,421.5,421.5,421.5,-4.25,-1.00%,0,92
03/29/2021,425.75,425.75,425.75,425.75,-3,-0.70%,0,92
03/26/2021,428.75,428.75,428.75,428.75,1.25,+0.29%,0,92
03/25/2021,427.5,427.5,427.5,427.5,-2,-0.47%,0,92
03/24/2021,429.5,429.5,429.5,429.5,0,0.00%,0,92
03/23/2021,429.5,429.5,429.5,429.5,0.75,+0.17%,0,92
03/22/2021,428.75,428.75,428.75,428.75,0,0.00%,0,92
03/19/2021,428.75,428.75,428.75,428.75,2.5,+0.59%,0,92
03/18/2021,426.25,426.25,426.25,426.25,-3,-0.70%,0,92
03/17/2021,429.25,429.25,429.25,429.25,-0.75,-0.17%,0,92
03/16/2021,430,430,430,430,0.25,+0.06%,0,92
03/15/2021,429.75,429.75,429.75,429.75,-1,-0.23%,0,92
03/12/2021,430.75,430.75,430.75,430.75,-4.5,-1.03%,0,92
03/11/2021,435.25,435.25,435.25,435.25,2.25,+0.52%,0,92
03/10/2021,433,433,433,433,-2.25,-0.52%,0,92
03/09/2021,435.25,435.25,435.25,435.25,1.25,+0.29%,0,92
