"Symbol: ZCY00",,,,,,"Study: VOL (LikeMain)",
"Date Time","Open","High","Low","Close","Change","Volume","Open Interest"
2021-10-29,584.75,584.75,584.75,584.75,5.5,,
2021-11-01,595.5,595.5,595.5,595.5,10.75,,
2021-11-02,583,583,583,583,-12.5,,
2021-11-03,574,574,574,574,-9,,
2021-11-04,569.25,569.25,569.25,569.25,-4.75,,
2021-11-05,563,563,563,563,-6.25,,
2021-11-08,561.5,561.5,561.5,561.5,-1.5,,
2021-11-09,564.75,564.75,564.75,564.75,3.25,,
2021-11-10,579.25,579.25,579.25,579.25,14.5,,
2021-11-11,579.25,579.25,579.25,579.25,0,,
2021-11-12,587.25,587.25,587.25,587.25,8,,
2021-11-15,586.5,586.5,586.5,586.5,-0.75,,
2021-11-16,581,581,581,581,-5.5,,
2021-11-17,585.25,585.25,585.25,585.25,4.25,,
2021-11-18,583,583,583,583,-2.25,,
2021-11-19,580.75,580.75,580.75,580.75,-2.25,,
2021-11-22,586.75,586.75,586.75,586.75,6,,
2021-11-23,590.5,590.5,590.5,590.5,3.75,,
2021-11-24,591.25,591.25,591.25,591.25,0.75,,
2021-11-26,598.25,598.25,598.25,598.25,7,,
2021-11-29,592,592,592,592,-6.25,,
2021-11-30,580.5,580.5,580.5,580.5,-11.5,,
2021-12-01,587,587,587,587,6.5,,
2021-12-02,592,592,592,592,5,,
2021-12-03,599,599,599,599,7,,
2021-12-06,598.5,598.5,598.5,598.5,-0.5,,
2021-12-07,601,601,601,601,2.5,,
2021-12-08,602.25,602.25,602.25,602.25,1.25,,
2021-12-09,606.75,606.75,606.75,606.75,4.5,,
2021-12-10,605,605,605,605,-1.75,,
2021-12-13,600,600,600,600,-5,,
2021-12-14,605.25,605.25,605.25,605.25,5.25,,
2021-12-15,600.75,600.75,600.75,600.75,-4.5,,
2021-12-16,606.25,606.25,606.25,606.25,5.5,,
2021-12-17,608.25,608.25,608.25,608.25,2,,
2021-12-20,606,606,606,606,-2.25,,
2021-12-21,613.25,613.25,613.25,613.25,7.25,,
2021-12-22,615.5,615.5,615.5,615.5,2.25,,
2021-12-23,618.75,618.75,618.75,618.75,3.25,,
2021-12-27,626.25,626.25,626.25,626.25,7.5,,
2021-12-28,616.25,616.25,616.25,616.25,-10,,
2021-12-29,617,617,617,617,0.75,,
2021-12-30,607.5,607.5,607.5,607.5,-9.5,,
2021-12-31,607.5,607.5,607.5,607.5,0,,
2022-01-03,600.75,600.75,600.75,600.75,-6.75,,
2022-01-04,621,621,621,621,20.25,,
2022-01-05,613.75,613.75,613.75,613.75,-7.25,,
2022-01-06,615.25,615.25,615.25,615.25,1.5,,
2022-01-07,618.25,618.25,618.25,618.25,3,,
2022-01-10,612.25,612.25,612.25,612.25,-6,,
2022-01-11,612.5,612.5,612.5,612.5,0.25,,
2022-01-12,610.5,610.5,610.5,610.5,-2,,
2022-01-13,599,599,599,599,-11.5,,
2022-01-14,607.75,607.75,607.75,607.75,8.75,,
2022-01-18,609.5,609.5,609.5,609.5,1.75,,
2022-01-19,620.5,620.5,620.5,620.5,11,,
2022-01-20,621,621,621,621,0.5,,
2022-01-21,625.25,625.25,625.25,625.25,4.25,,
2022-01-24,629,629,629,629,3.75,,
2022-01-25,627,627,627,627,-2,,
2022-01-26,634,634,634,634,7,,
2022-01-27,632.25,632.25,632.25,632.25,-1.75,,
2022-01-28,643,643,643,643,10.75,,
2022-01-31,633,633,633,633,-10,,
2022-02-01,641.75,641.75,641.75,641.75,8.75,,
2022-02-02,629.5,629.5,629.5,629.5,-12.25,,
2022-02-03,623.75,623.75,623.75,623.75,-5.75,,
2022-02-04,627.5,627.5,627.5,627.5,3.75,,
2022-02-07,642.25,642.25,642.25,642.25,14.75,,
2022-02-08,639.25,639.25,639.25,639.25,-3,,
2022-02-09,653.75,653.75,653.75,653.75,14.5,,
2022-02-10,648.75,648.75,648.75,648.75,-5,,
2022-02-11,657,657,657,657,8.25,,
2022-02-14,661.75,661.75,661.75,661.75,4.75,,
2022-02-15,644,644,644,644,-17.75,,
2022-02-16,653,653,653,653,9,,
2022-02-17,653,653,653,653,0,,
2022-02-18,660.25,660.25,660.25,660.25,7.25,,
2022-02-22,680.75,680.75,680.75,680.75,20.5,,
2022-02-23,689.75,689.75,689.75,689.75,9,,
2022-02-24,701,701,701,701,11.25,,
2022-02-25,663.5,663.5,663.5,663.5,-37.5,,
2022-02-28,701.5,701.5,701.5,701.5,38,,
2022-03-01,729.75,729.75,729.75,729.75,28.25,,
2022-03-02,729,729,729,729,-0.75,,
2022-03-03,751.75,751.75,751.75,751.75,22.75,,
2022-03-04,751.75,751.75,751.75,751.75,0,,
2022-03-07,745.75,745.75,745.75,745.75,-6,,
2022-03-08,748,748,748,748,2.25,,
2022-03-09,728,728,728,728,-20,,
2022-03-10,750.75,750.75,750.75,750.75,22.75,,
2022-03-11,757.5,757.5,757.5,757.5,6.75,,
2022-03-14,743.25,743.25,743.25,743.25,-14.25,,
2022-03-15,754,754,754,754,10.75,,
