Time,Open,High,Low,Last,Change,%Chg,Volume,"Open Int"
01/27/2023,599,599.25,596.25,597,-2.5,-0.42%,155,2487
01/26/2023,599,602.25,597,599.5,1.25,+0.21%,168,2461
01/25/2023,602.5,603.5,597.75,598.25,-3,-0.50%,60,2468
01/24/2023,599,601.25,595.25,601.25,5,+0.84%,116,2467
01/23/2023,603,603,594,596.25,-8.75,-1.45%,150,2437
01/20/2023,603,606,603,605,-0.75,-0.12%,85,2348
01/19/2023,610.75,612,605,605.75,-4.75,-0.78%,92,2351
01/18/2023,612,615,608.25,610.5,-2.25,-0.37%,81,2358
01/17/2023,604.75,613.25,604,612.75,4.75,+0.78%,147,2344
01/13/2023,606,608,605,608,2.5,+0.41%,314,2349
01/12/2023,597.5,608.25,594.75,605.5,5.5,+0.92%,190,2228
01/11/2023,599.25,602.5,598.75,600,-0.25,-0.04%,51,2208
01/10/2023,600.5,605,597.75,600.25,-1,-0.17%,67,2196
01/09/2023,602.25,603.5,601,601.25,-1,-0.17%,83,2167
01/06/2023,602,604.75,601.25,602.25,0,0.00%,105,2149
01/05/2023,606.25,608,600.75,602.25,-4,-0.66%,86,2115
01/04/2023,613.5,613.5,606,606.25,-11.5,-1.86%,55,2063
01/03/2023,620.25,621.5,615.75,617.75,-3.5,-0.56%,82,2057
12/30/2022,621.5,624.25,619,621.25,-2,-0.32%,78,2015
12/29/2022,621,623.25,619.25,623.25,0.5,+0.08%,102,2005
12/28/2022,618,622.75,617.25,622.75,4.5,+0.73%,68,1984
12/27/2022,615,618.5,614.25,618.25,4.5,+0.73%,216,1961
12/23/2022,613,616.75,612.5,613.75,0.5,+0.08%,54,1996
12/22/2022,612,614.5,612,613.25,-1,-0.16%,930,2010
12/21/2022,610.5,614.5,607.75,614.25,6.25,+1.03%,373,2082
12/20/2022,607,610.5,605.25,608,1,+0.16%,249,2040
12/19/2022,604.75,608.25,604.75,607,-2,-0.33%,203,1936
12/16/2022,609.5,609.5,607.5,609,0,0.00%,105,2049
12/15/2022,609,610.75,607.5,609,2.25,+0.37%,199,2041
12/14/2022,605.75,607.75,603,606.75,0.25,+0.04%,30,1960
12/13/2022,607.5,611.5,606,606.5,-1.25,-0.21%,40,1955
12/12/2022,603,610.25,603,607.75,3.75,+0.62%,100,1956
12/09/2022,605.25,608.5,603.25,604,-1.5,-0.25%,60,1942
12/08/2022,607.75,607.75,604.75,605.5,-1.75,-0.29%,21,1928
12/07/2022,603.25,607.75,602.5,607.25,3,+0.50%,125,1910
12/06/2022,606.25,608.75,602,604.25,-2,-0.33%,140,1797
12/05/2022,609.5,609.5,605.75,606.25,-2.5,-0.41%,105,1808
12/02/2022,609.75,612,608.5,608.75,-3,-0.49%,37,1753
12/01/2022,615,617.25,611,611.75,-4.75,-0.77%,34,1732
11/30/2022,614.5,623,613.25,616.5,-4.75,-0.76%,44,1720
11/29/2022,618.25,623.5,618.25,621.25,0.75,+0.12%,118,1679
11/28/2022,620.25,620.5,618,620.5,0.25,+0.04%,10,1670
11/25/2022,615,622,615,620.25,2.25,+0.36%,1,1666
11/23/2022,615.75,618.25,613.5,618,3,+0.49%,64,1666
11/22/2022,614.75,619.75,614.75,615,-1.75,-0.28%,89,1649
