Time,Open,High,Low,Last,Change,%Chg,Volume
"07/02/2023 19:00",492.25,494.5,488.75,490.75,-4.25,-0.86%,15105
"06/30/2023 13:00",500.25,503.75,493,495,-5.25,-1.05%,35307
"06/30/2023 12:30",508.5,508.5,494,500.25,-8.5,-1.67%,32624
"06/30/2023 12:00",509,510,505.25,508.75,-0.25,-0.05%,14500
"06/30/2023 11:30",512.25,513,505.75,509,-3.5,-0.68%,22443
"06/30/2023 11:00",532.75,537.5,506.25,512.5,-20,-3.76%,99685
"06/30/2023 10:30",530.75,533.25,530.25,532.5,1.75,+0.33%,7590
"06/30/2023 10:00",529,531.75,528.5,530.75,1.5,+0.28%,4972
"06/30/2023 09:30",533.75,533.75,528.25,529.25,-4.75,-0.89%,10725
"06/30/2023 09:00",535.25,535.25,533.25,534,-1,-0.19%,5836
"06/30/2023 08:30",534,536,532.25,535,2.75,+0.52%,14461
"06/30/2023 07:30",531,532.75,530.75,532.25,1.5,+0.28%,1110
"06/30/2023 07:00",529.75,531.25,529.5,530.75,1,+0.19%,1238
"06/30/2023 06:30",532.25,532.5,528.75,529.75,-2.5,-0.47%,2151
"06/30/2023 06:00",531.75,532.25,529.5,532.25,0.5,+0.09%,980
"06/30/2023 05:30",533.25,533.25,530,531.75,-1.5,-0.28%,2342
"06/30/2023 05:00",534.25,535.25,533,533.25,-1.25,-0.23%,685
"06/30/2023 04:30",535,535.75,534.25,534.5,-0.75,-0.14%,652
"06/30/2023 04:00",535.5,536.5,535.25,535.25,0,0.00%,406
"06/30/2023 03:30",536,537.25,534.75,535.25,-0.75,-0.14%,1083
"06/30/2023 03:00",536,537,535.5,536,0.25,+0.05%,947
"06/30/2023 02:30",534.75,535.75,534,535.75,1.25,+0.23%,804
"06/30/2023 02:00",534.5,534.75,533.25,534.5,0,0.00%,781
"06/30/2023 01:30",535,535.5,534,534.5,-0.5,-0.09%,496
"06/30/2023 01:00",535.75,536.25,534.5,535,-1,-0.19%,606
